# messageDelay  cumulativeProbability
0.0100 0.9146
0.0100 0.9156
0.0100 0.9166
0.0100 0.9176
0.0100 0.9185
0.0100 0.9195
0.0100 0.9205
0.0100 0.9214
0.0100 0.9224
0.0100 0.9234
0.0100 0.9243
0.0100 0.9253
0.0100 0.9263
0.0100 0.9273
0.0100 0.9282
0.0100 0.9292
0.0100 0.9302
0.0100 0.9311
0.0100 0.9321
0.0100 0.9331
0.0100 0.9340
0.0100 0.9350
0.0100 0.9360
0.0100 0.9370
0.0100 0.9379
0.0100 0.9389
0.0100 0.9399
0.0100 0.9408
0.0100 0.9418
0.0100 0.9428
0.0100 0.9437
0.0100 0.9447
0.0100 0.9457
0.0100 0.9467
0.0100 0.9476
0.0100 0.9486
0.0100 0.9496
0.0100 0.9505
0.0100 0.9515
0.0100 0.9525
0.0100 0.9534
0.0100 0.9544
0.0100 0.9554
0.0100 0.9564
0.0100 0.9573
0.0100 0.9583
0.0100 0.9593
0.0100 0.9602
0.0100 0.9612
0.0100 0.9622
0.0100 0.9631
0.0100 0.9641
0.0100 0.9651
0.0100 0.9661
0.0100 0.9670
0.0100 0.9680
0.0100 0.9690
0.0100 0.9699
0.0100 0.9709
0.0100 0.9719
0.0100 0.9728
0.0100 0.9738
0.0100 0.9748
0.0100 0.9758
0.0100 0.9767
0.0100 0.9777
0.0100 0.9787
0.0100 0.9796
0.0100 0.9806
0.0100 0.9816
0.0100 0.9825
0.0100 0.9835
0.0100 0.9845
0.0100 0.9855
0.0100 0.9864
0.0200 0.9874
0.0200 0.9884
